PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=30 ttl=63 时间=75.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=32 ttl=63 时间=74.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=34 ttl=63 时间=74.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=35 ttl=63 时间=75.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=36 ttl=63 时间=74.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=38 ttl=63 时间=73.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=39 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=40 ttl=63 时间=76.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=41 ttl=63 时间=73.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=42 ttl=63 时间=74.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=43 ttl=63 时间=72.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=44 ttl=63 时间=73.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=45 ttl=63 时间=74.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=46 ttl=63 时间=73.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=48 ttl=63 时间=75.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=49 ttl=63 时间=74.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=50 ttl=63 时间=73.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=51 ttl=63 时间=73.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=52 ttl=63 时间=76.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=53 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=54 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=55 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=56 ttl=63 时间=73.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=58 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=60 ttl=63 时间=73.4 毫秒
