PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=88 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=89 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=90 ttl=63 时间=74.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=91 ttl=63 时间=73.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=92 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=94 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=96 ttl=63 时间=75.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=97 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=98 ttl=63 时间=73.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=100 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=101 ttl=63 时间=73.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=102 ttl=63 时间=73.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=103 ttl=63 时间=75.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=104 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=106 ttl=63 时间=74.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=108 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=109 ttl=63 时间=37.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=110 ttl=63 时间=74.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=112 ttl=63 时间=73.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=113 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=114 ttl=63 时间=74.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=115 ttl=63 时间=37.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=116 ttl=63 时间=75.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=118 ttl=63 时间=76.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=120 ttl=63 时间=74.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=121 ttl=63 时间=39.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=122 ttl=63 时间=76.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=124 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=125 ttl=63 时间=75.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=126 ttl=63 时间=74.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=127 ttl=63 时间=38.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=128 ttl=63 时间=75.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=130 ttl=63 时间=74.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=132 ttl=63 时间=76.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=134 ttl=63 时间=76.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=136 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=137 ttl=63 时间=76.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=138 ttl=63 时间=75.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=140 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=141 ttl=63 时间=76.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=142 ttl=63 时间=75.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=143 ttl=63 时间=38.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=144 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=146 ttl=63 时间=76.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=148 ttl=63 时间=76.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=150 ttl=63 时间=74.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=152 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=153 ttl=63 时间=76.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=154 ttl=63 时间=76.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=156 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=157 ttl=63 时间=76.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=158 ttl=63 时间=75.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=159 ttl=63 时间=75.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=160 ttl=63 时间=76.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=161 ttl=63 时间=76.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=162 ttl=63 时间=76.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=164 ttl=63 时间=76.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=165 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=166 ttl=63 时间=77.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=167 ttl=63 时间=38.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=168 ttl=63 时间=77.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=170 ttl=63 时间=76.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=172 ttl=63 时间=77.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=174 ttl=63 时间=78.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=175 ttl=63 时间=76.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=176 ttl=63 时间=76.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=178 ttl=63 时间=79.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=179 ttl=63 时间=77.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=180 ttl=63 时间=77.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=181 ttl=63 时间=77.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=182 ttl=63 时间=78.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=183 ttl=63 时间=39.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=184 ttl=63 时间=77.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=186 ttl=63 时间=78.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=187 ttl=63 时间=78.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=188 ttl=63 时间=76.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=189 ttl=63 时间=39.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=190 ttl=63 时间=78.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=192 ttl=63 时间=76.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=194 ttl=63 时间=78.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=195 ttl=63 时间=38.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=196 ttl=63 时间=77.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=198 ttl=63 时间=77.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=199 ttl=63 时间=79.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=200 ttl=63 时间=78.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=201 ttl=63 时间=79.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=202 ttl=63 时间=77.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=203 ttl=63 时间=38.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=204 ttl=63 时间=78.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=206 ttl=63 时间=78.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=207 ttl=63 时间=78.8 毫秒
